#____________________________________________________________
#
#                   RCTelescopeTiming                 
#      Roque Cherenkov Telescope Timing Analysis Package    
#               Selecting Events for Plots 		   
#            Author: Max Ahnen, IPP ETH Zurich            
#____________________________________________________________
#Gamma-Ray like 3-Telescope-Events
#
#NIGHT,RUNID,EventNum,E/GeV
20141017,167,309,410.759
20141017,167,812,644.022
20141017,167,1009,686.496
20141017,167,5062,1023.99
20141017,167,11360,476.916
20141017,168,3148,2290.25
20141017,168,3608,746.452
20141017,169,8283,2588.67
20141017,169,9414,673.556
20141017,170,5585,1255.64
20141017,170,7374,1754.18
20141017,170,8146,1401.78
20141017,170,8739,659.521
20141017,170,9273,3787.32
20141017,170,11370,698.612
20141017,170,12669,732.106
20141017,171,189,699.036
20141017,171,1886,1332.09
20141017,171,4807,1951.1
20141017,171,7515,2265.06
20141017,171,8337,438.802
20141017,171,9728,1364.81
20141017,171,12113,798.081
20141017,171,12828,1243.58
20141114,159,7954,3182.95
20141114,159,9137,1282.18
20141114,159,11037,493.321
20141114,159,12762,1046.52
20141114,162,1361,1265.07
20141114,162,2547,1622.97
20141114,162,8383,602.683
20141114,162,8808,737.474
20141114,162,11009,1310.27
20141114,162,11063,1722.14
20141114,162,12443,704.952
20141114,163,310,721.22
20141114,163,3673,4672.64
20141114,163,4412,826.819
20141114,163,11967,2303.37
20141114,163,12065,959.891
20141114,163,12777,562.049
20141124,110,11872,1421.45
20141124,110,12833,1480.54
20141124,111,14804,498.879
20141124,111,15896,875.067
20141124,111,17025,4715.19
20141124,121,1572,2956.54
20141124,121,3550,2561.22
20141124,121,4663,1047.31
20141124,121,5810,5957.11
20141124,121,9575,713.08
20141124,121,11716,1723.24
20141124,121,12959,6372.94
20141124,121,15601,400.124
20141124,122,791,1136.08
20141124,122,7153,1447
20141124,122,11301,467.019
20141124,122,13368,6193.28
20141124,122,15857,1465.84
20141124,122,17254,4545.14
20141124,122,18208,1305.06
20141124,122,20466,783.618
20141124,123,3697,987.646
20141124,123,6384,624.87
20141124,123,11624,730.64
20141124,123,14564,1428.67
20141124,123,16857,985.993
20141124,123,21975,3210.29
20141124,124,1289,1354.27
20141124,124,6940,1512.51
20141124,124,8085,1144.31
20141124,124,12547,1121.68
20141124,124,12678,1110.63
20141124,124,20427,2049.18
20141124,127,10945,1198.78
20141124,127,14718,901.808
20141124,127,15020,1882.09
20141124,127,16451,799.647
20141124,127,16890,4256.52
20141124,128,1655,1078.13
20141124,128,1852,1642.72
20141124,128,2248,571.986
20141124,128,4145,2267.75
20141124,128,5974,6985.75
20141124,128,12296,703.209
20141124,128,17880,1129.39
20141124,128,20231,2513.29
20141124,128,21324,1051.17
20141124,128,21939,2117.11
20141124,129,1254,1072.59
20141124,129,7584,869.204
20141124,129,9213,3117.54
20141124,129,12938,3280.91
20141124,129,15353,1097
20141124,129,20930,1815.99
20141124,129,21670,1284.64
20141124,130,3942,7930.9
20141124,130,5300,1250.6
20141124,130,6035,794.456
